step,t,atom_id,mol_id,x,y,z,S_i,S_avg,c_label
1,13000000,5941,40.0,12.1673,6.78341,0.853396,-4.665,-5.171,0
1,13000000,8897,60.0,7.57127,1.62012,5.84951,-3.58,-5.687,0
1,13000000,8896,60.0,7.81851,1.70261,5.56697,-2.947,-5.732,0
1,13000000,5940,40.0,11.9862,7.1021,0.717048,-3.758,-5.171,0
1,13000000,5939,40.0,11.6104,7.1329,0.835346,-3.877,-5.177,0
1,13000000,3609,25.0,9.17472,2.68377,1.49616,-4.939,-5.063,0
1,13000000,2426,17.0,3.62181,15.5583,7.39663,-5.35,-5.315,0
1,13000000,3180,22.0,5.70479,8.34721,12.7842,-7.298,-5.396,0
1,13000000,3596,24.0,11.6286,8.21892,14.4156,-7.787,-5.164,0
1,13000000,3171,22.0,3.37626,9.17369,12.4123,-5.144,-5.344,0
1,13000000,3173,22.0,3.92561,8.95982,12.6905,-8.027,-5.379,0
1,13000000,86,1.0,8.28959,5.34151,4.80184,-4.099,-6.487,1
1,13000000,3175,22.0,4.40998,8.66867,12.9866,-4.47,-5.316,0
1,13000000,3174,22.0,4.13637,8.93456,13.0088,-5.44,-5.343,0
1,13000000,8383,56.0,3.2518,12.1465,14.2079,-2.856,-5.24,0
1,13000000,85,1.0,8.33845,4.96313,4.70543,-6.754,-6.191,1
1,13000000,3170,22.0,3.07126,9.42386,12.4208,-5.518,-5.414,0
1,13000000,4464,30.0,2.69486,13.1703,9.79943,-5.116,-5.438,0
1,13000000,3601,25.0,9.83664,0.494444,1.01671,-4.52,-5.119,0
1,13000000,1526,11.0,8.77443,2.47681,5.69679,-6.438,-6.326,1
1,13000000,87,1.0,7.92682,5.43118,4.70459,-7.654,-6.264,1
1,13000000,845,6.0,15.4203,12.7717,8.51076,-3.995,-4.963,0
1,13000000,4890,33.0,10.1007,11.2302,13.5165,-4.737,-5.115,0
1,13000000,4889,33.0,10.2202,11.4568,13.2245,-3.683,-5.092,0
1,13000000,4887,33.0,9.64748,11.6116,12.9555,-3.74,-5.053,0
1,13000000,4888,33.0,9.96039,11.7498,13.1473,-5.064,-5.052,0
1,13000000,4875,33.0,8.94952,12.9588,10.1411,-3.743,-4.653,0
1,13000000,4891,33.0,10.3442,10.9457,13.6142,-4.477,-5.137,0
1,13000000,4886,33.0,9.38994,11.8897,12.8753,-3.689,-5.049,0
1,13000000,4885,33.0,9.07552,11.7557,12.6723,-5.136,-4.881,0
1,13000000,1528,11.0,9.33359,2.13252,5.61095,-5.529,-6.44,1
1,13000000,857,6.0,12.9546,15.1487,8.63708,-5.981,-6.221,1
1,13000000,858,6.0,12.8275,15.4995,8.55344,-6.441,-6.404,1
1,13000000,4884,33.0,8.79495,12.0188,12.6333,-5.838,-4.851,0
1,13000000,8399,56.0,3.64689,8.09678,13.9546,-5.09,-5.247,0
1,13000000,4892,33.0,10.5736,11.0636,13.9118,-8.073,-5.159,0
1,13000000,4894,33.0,11.0904,10.8344,14.2641,-7.223,-5.03,0
1,13000000,864,6.0,11.6473,1.05884,8.92663,-10.2,-7.593,1
1,13000000,3158,22.0,3.10594,10.8712,10.2175,-5.648,-5.293,0
1,13000000,3602,25.0,10.1256,0.724401,0.87063,-4.642,-5.174,0
1,13000000,3162,22.0,2.53765,10.5039,11.271,-3.354,-5.268,0
1,13000000,3159,22.0,3.02978,11.0013,10.5782,-5.925,-5.486,0
1,13000000,3163,22.0,2.25624,10.3193,11.0692,-3.85,-5.173,0
1,13000000,8661,58.0,2.26025,13.7807,11.1476,-5.013,-5.245,0
1,13000000,3161,22.0,2.65787,10.8317,11.0982,-4.372,-5.342,0
1,13000000,3160,22.0,2.77525,10.7558,10.7448,-4.902,-5.363,0
