atom_id,umap1,umap2,S_avg,c_label
83,3.3392203,2.2244785,-6.269,1
84,3.100429,1.4898454,-6.456,1
85,3.2605498,2.101193,-6.191,1
86,2.6638858,1.5991408,-6.487,1
87,-0.57761073,5.4567404,-6.264,1
88,3.5746574,2.434942,-6.446,1
89,3.5275056,2.2051826,-6.358,0
90,3.0793524,1.8585296,-6.414,1
91,3.012957,2.029201,-6.36,1
92,3.4331307,2.3866463,-6.503,1
93,2.8598104,2.1176279,-6.259,1
94,2.404485,1.6065212,-6.249,1
95,2.7880397,2.0864813,-6.034,1
96,1.3345742,0.95156145,-5.833,0
97,2.272576,2.2958925,-5.926,0
98,1.284163,1.0491616,-5.892,0
99,2.1079519,2.2301106,-5.91,0
100,0.7745751,1.615995,-5.797,0
101,2.1768124,2.1884544,-5.839,0
102,1.2963458,1.0285697,-6.094,0
103,2.2297537,2.373412,-6.235,0
104,2.241067,2.3088765,-6.617,1
105,4.0033603,3.5096054,-6.836,1
106,4.2356696,3.645737,-6.978,1
107,4.2658353,3.6520011,-7.165,1
108,4.425907,3.6024303,-7.431,1
109,4.1869965,3.685867,-7.697,1
110,4.5383134,3.5105867,-7.82,1
111,5.009058,3.2615612,-8.036,1
112,4.658491,3.5541704,-8.059,1
113,4.5579977,3.523009,-7.974,1
114,4.7921147,3.4649012,-8.013,1
115,4.474456,3.1813788,-8.044,1
116,4.90445,3.393278,-8.061,1
117,4.4875994,3.221341,-7.891,1
118,4.959519,3.3427737,-7.968,1
119,4.4402294,3.242094,-7.879,1
120,4.7652555,3.4837463,-7.918,1
121,4.437787,3.2301924,-7.75,1
122,4.8407125,3.4090855,-7.6,1
123,4.3462696,3.2199824,-7.43,1
124,4.6065826,3.5051613,-7.325,1
125,3.973434,3.3736184,-7.302,1
126,4.3004603,3.6125717,-7.147,1
127,4.127689,3.3635345,-7.053,1
128,4.124661,4.0457296,-6.942,1
129,3.7380214,3.4338346,-6.855,1
130,2.919175,3.032486,-6.612,1
131,2.8163316,3.1149757,-6.509,1
132,2.7319236,3.0252774,-6.292,1
133,3.6730015,4.1521792,-6.054,1
134,-1.3629187,0.094271615,-5.83,0
135,-2.087958,-1.1303695,-5.946,0
136,-1.3164062,3.0759208,-5.784,0
137,2.5514388,3.045969,-5.828,0
138,-0.22549324,3.8324127,-5.61,0
139,2.5465343,3.0034971,-5.656,0
140,0.3880948,1.1801875,-5.571,0
141,-3.2479932,1.071601,-5.542,0
142,-0.04241339,6.6289353,-5.494,0
143,-2.6745944,1.3907992,-5.436,0
144,-1.1408051,3.718681,-5.373,0
