row,umap1,umap2
2079,2.5919776,2.6284947
2080,2.761993,3.6034193
2081,2.0465546,0.050753664
2082,-1.4336284,0.29007876
2083,0.8016028,-0.08968778
2084,-1.2742752,0.53355914
2085,-1.6574132,3.6275885
2086,3.6974578,-0.80304134
2087,-3.0563066,2.4694643
2088,-3.090401,1.9188197
2089,4.2752056,-0.7494161
2090,-2.7868571,3.1264305
2091,0.51324755,2.3616178
2092,5.499876,0.26917735
2093,-1.4681515,2.1984174
2094,6.2168226,0.6566374
2095,2.2292533,4.4342766
2096,4.296351,4.709854
2097,-12.685484,3.6294515
2098,14.340138,12.662169
2099,16.531115,5.1011357
2100,16.683208,4.4862185
2101,14.4560175,12.545441
2102,-1.5917177,4.9837127
2103,3.0767398,9.334748
2104,2.8696046,9.531257
2105,3.0643663,9.735417
2106,3.2122293,9.91835
2107,2.5061872,8.974771
2108,2.8540475,10.151081
2109,1.8629056,8.567667
2110,2.364967,9.85325
2111,2.1252153,9.419259
2112,1.815596,8.445942
2113,2.284912,9.761945
2114,1.817411,8.359137
2115,2.1393301,9.360156
2116,1.9291673,8.507385
2117,2.3650532,9.224163
2118,2.257354,9.457211
2119,2.7647107,9.18431
2120,3.2737916,8.81205
2121,3.0958087,8.307596
2122,3.5004725,8.992903
2123,6.3485236,1.3686061
2124,-1.5200443,4.345051
2125,-0.88137925,2.6548874
2126,-2.359173,5.2917905
2127,-2.03527,4.1486897
2128,4.6416183,-0.6485655
2129,-2.5464451,2.8611698
2130,-2.845586,4.151282
2131,3.6216106,0.18254104
2132,2.446768,3.7886963
2133,3.9205322,5.185446
2134,3.078493,6.1837993
2135,2.5014477,4.4836035
2136,3.7415411,6.647186
2137,4.0548925,5.934011
2138,4.911118,0.35171992
2139,0.19708511,2.8055444
2140,-1.4254776,2.3699436
2141,-0.064103976,3.1520348
2142,6.1174345,1.404966
2143,2.3504536,7.463239
2144,5.6703267,1.8665545
2145,-1.7152802,5.2627134
2146,1.6888252,7.971401
2147,1.9972279,8.930479
2148,1.8230612,8.94999
2149,2.5063539,9.82147
2150,1.8777156,7.9098077
2151,4.1903973,6.946742
2152,2.9168408,6.4101424
2153,4.1812634,5.9565682
2154,2.985558,8.375129
2155,2.662462,7.327228
2156,2.8718586,9.754808
2157,2.8404312,9.352655
2158,2.4012852,8.738004
2159,3.3936036,9.580567
2160,2.455498,8.407374
2161,3.181555,9.915388
2162,3.0564406,9.734933
2163,2.5732656,9.109754
2164,2.6472917,9.289266
2165,2.2402813,8.723387
2166,3.0858464,9.976442
2167,2.2649684,8.832066
2168,2.8037648,10.247126
2169,2.8929315,10.100391
2170,2.8200533,10.057059
2171,2.7476773,10.285398
2172,2.261377,9.30052
2173,2.5301719,10.062884
2174,2.0442004,8.877392
2175,2.0700176,8.935503
2176,1.7428992,8.031998
2177,2.1420078,7.3420997
2178,2.0413117,7.548061
2179,3.2876594,8.343696
2180,2.7720127,9.143355
2181,2.464192,8.1269045
2182,1.797139,8.229004
2183,1.7037421,7.021215
2184,1.8638562,7.5747166
2185,3.220287,7.770862
2186,3.770958,6.3251824
2187,3.965979,6.2104006
2188,3.154169,3.997129
2189,3.9601731,0.68513685
2190,0.389384,0.32299614
2191,-2.9857588,1.0049129
2192,-0.019140104,-0.15160783
2193,0.33795312,0.04408694
2194,-2.8318815,3.7919428
2195,4.874744,1.7158538
2196,-1.3431988,4.294921
2197,-1.6024386,5.3155675
2198,4.676476,1.9380898
2199,1.7588989,7.126857
2200,3.2731135,6.7029767
2201,3.8006203,6.3898897
2202,4.4498134,6.1844616
2203,4.451813,0.17503479
2204,-2.3205318,1.2667335
2205,0.46505907,2.2821057
2206,0.15366477,1.9617261
2207,0.05309282,1.3869635
2208,0.0012284437,1.552656
2209,-1.4239342,2.530543
2210,5.844297,0.36672908
2211,4.1402683,6.90907
2212,4.0170207,6.9044275
2213,3.2269754,7.5847034
2214,2.4802737,7.150735
2215,2.602063,6.9124494
2216,2.3597317,4.2563777
2217,3.253344,0.16074483
2218,0.034141466,-0.10263316
2219,-3.1397932,0.8174276
2220,0.46652046,-0.019309761
2221,3.847509,0.28125715
2222,3.4259515,5.6538305
2223,4.9487686,0.81488913
2224,-1.311878,1.5362247
